Task ID,User Story,Priority,Estimated Hours
US01,"As a student, I want to login via university ID so I can access my profile.",High,4
US02,"As a teacher, I want to view a real-time list of present students.",High,6
US03,"As a system, I want to detect if a student is within 10m of the classroom.",High,8
US04,"As a student, I want a notification when my attendance is marked.",Medium,3
US05,"As an admin, I want to manually override attendance for technical errors.",Low,4
US06,"As a developer, I want to set up the database schema for student records.",High,5
US07,"As a designer, I want to create the wireframes for the attendance dashboard.",Medium,4
US08,"As a tester, I want to run GPS accuracy tests to verify the geo-fencing range.",High,6
US09,"As a student, I want to see my total attendance percentage on the home screen.",Medium,4
US10,"As a developer, I want to set up the API endpoints for the login system.",High,5
